CODGEO;DEP;LIBGEO;Zonage en vigueur;Reclassement
1332;1;Saint-André-de-Bâgé;C;Non
1333;1;Saint-André-de-Corcy;B1;Oui
1334;1;Saint-André-d'Huiriat;C;Non
1335;1;Saint-André-le-Bouchoux;C;Non
1336;1;Saint-André-sur-Vieux-Jonc;C;Non
1337;1;Saint-Bénigne;C;Non
1338;1;Groslée-Saint-Benoit;C;Non
1339;1;Saint-Bernard;B2;Non
1342;1;Sainte-Croix;B2;Non
1343;1;Saint-Cyr-sur-Menthon;C;Non
1344;1;Saint-Denis-lès-Bourg;B2;Non
1345;1;Saint-Denis-en-Bugey;C;Non
1346;1;Saint-Didier-d'Aussiat;C;Non
1347;1;Saint-Didier-de-Formans;B2;Non
1348;1;Saint-Didier-sur-Chalaronne;C;Non
1349;1;Saint-Éloi;C;Non
1350;1;Saint-Étienne-du-Bois;C;Non
1351;1;Saint-Étienne-sur-Chalaronne;C;Non
1352;1;Saint-Étienne-sur-Reyssouze;C;Non
1353;1;Sainte-Euphémie;B2;Non
1354;1;Saint-Genis-Pouilly;Abis;Oui
1355;1;Saint-Genis-sur-Menthon;C;Non
1356;1;Saint-Georges-sur-Renon;C;Non
1357;1;Saint-Germain-de-Joux;C;Non
1358;1;Saint-Germain-les-Paroisses;C;Non
1359;1;Saint-Germain-sur-Renon;C;Non
1360;1;Saint-Jean-de-Gonville;A;Oui
1361;1;Saint-Jean-de-Niost;C;Non
1362;1;Saint-Jean-de-Thurigneux;B2;Non
1363;1;Saint-Jean-le-Vieux;C;Non
1364;1;Saint-Jean-sur-Reyssouze;C;Non
1365;1;Saint-Jean-sur-Veyle;C;Non
1366;1;Sainte-Julie;C;Non
1367;1;Saint-Julien-sur-Reyssouze;C;Non
1368;1;Saint-Julien-sur-Veyle;C;Non
1369;1;Saint-Just;B2;Non
1370;1;Saint-Laurent-sur-Saône;B2;Non
1371;1;Saint-Marcel;C;Non
1372;1;Saint-Martin-de-Bavel;C;Non
1373;1;Saint-Martin-du-Frêne;C;Non
1374;1;Saint-Martin-du-Mont;C;Non
1375;1;Saint-Martin-le-Châtel;C;Non
1376;1;Saint-Maurice-de-Beynost;B1;Non
1378;1;Saint-Maurice-de-Gourdans;C;Non
1379;1;Saint-Maurice-de-Rémens;C;Non
1380;1;Saint-Nizier-le-Bouchoux;C;Non
1381;1;Saint-Nizier-le-Désert;C;Non
1382;1;Sainte-Olive;C;Non
1383;1;Saint-Paul-de-Varax;C;Non
1384;1;Saint-Rambert-en-Bugey;C;Non
1385;1;Saint-Rémy;C;Non
1386;1;Saint-Sorlin-en-Bugey;C;Non
1387;1;Saint-Sulpice;C;Non
1388;1;Saint-Trivier-de-Courtes;C;Non
1389;1;Saint-Trivier-sur-Moignans;C;Non
1390;1;Saint-Vulbas;C;Non
1391;1;Salavre;C;Non
1392;1;Samognat;C;Non
1393;1;Sandrans;C;Non
1396;1;Sault-Brénaz;C;Non
1397;1;Sauverny;Abis;Oui
1398;1;Savigneux;C;Non
1399;1;Ségny;Abis;Oui
1400;1;Seillonnaz;C;Non
1401;1;Sergy;A;Oui
1402;1;Sermoyer;C;Non
1403;1;Serrières-de-Briord;C;Non
1404;1;Serrières-sur-Ain;C;Non
1405;1;Servas;C;Non
1406;1;Servignat;C;Non
1407;1;Seyssel;C;Non
1408;1;Simandre-sur-Suran;C;Non
1410;1;Sonthonnax-la-Montagne;C;Non
1411;1;Souclin;C;Non
1412;1;Sulignat;C;Non
1415;1;Talissieu;C;Non
1416;1;Tenay;C;Non
1418;1;Thil;B2;Non
1419;1;Thoiry;A;Non
1420;1;Thoissey;C;Non
1421;1;Torcieu;C;Non
1422;1;Tossiat;C;Non
1423;1;Toussieux;B2;Non
1424;1;Tramoyes;B1;Oui
1425;1;La Tranclière;C;Non
1426;1;Val-Revermont;C;Non
1427;1;Trévoux;B1;Non
1428;1;Valeins;C;Non
1429;1;Vandeins;C;Non
1430;1;Varambon;C;Non
1431;1;Vaux-en-Bugey;C;Non
1432;1;Verjon;C;Non
1433;1;Vernoux;C;Non
1434;1;Versailleux;C;Non
1435;1;Versonnex;Abis;Oui
1436;1;Vesancy;A;Oui
1437;1;Vescours;C;Non
1439;1;Vésines;C;Non
1441;1;Vieu-d'Izenave;C;Non
1443;1;Villars-les-Dombes;B1;Oui
1444;1;Villebois;C;Non
1445;1;Villemotier;C;Non
1446;1;Villeneuve;C;Non
1447;1;Villereversure;C;Non
1448;1;Villes;C;Non
1449;1;Villette-sur-Ain;C;Non
1450;1;Villieu-Loyes-Mollon;C;Non
1451;1;Viriat;B2;Non
1452;1;Virieu-le-Grand;C;Non
1453;1;Arvière-en-Valromey;C;Non
1454;1;Virignin;C;Non
1456;1;Vongnes;C;Non
1457;1;Vonnas;C;Non
2001;2;Abbécourt;C;Non
2002;2;Achery;C;Non
2003;2;Acy;C;Non
2004;2;Agnicourt-et-Séchelles;C;Non
2005;2;Aguilcourt;C;Non
2006;2;Aisonville-et-Bernoville;C;Non
2007;2;Aizelles;C;Non
2008;2;Aizy-Jouy;C;Non
2009;2;Alaincourt;C;Non
2010;2;Allemant;C;Non
2011;2;Ambleny;C;Non
2012;2;Ambrief;C;Non
2013;2;Amifontaine;C;Non
2014;2;Amigny-Rouy;C;Non
2015;2;Ancienville;C;Non
2016;2;Andelain;C;Non
2017;2;Anguilcourt-le-Sart;C;Non
2018;2;Anizy-le-Grand;C;Non
2019;2;Annois;C;Non
2020;2;Any-Martin-Rieux;C;Non
2021;2;Archon;C;Non
2022;2;Arcy-Sainte-Restitue;C;Non
2023;2;Armentières-sur-Ourcq;C;Non
2024;2;Arrancy;C;Non
2025;2;Artemps;C;Non
2027;2;Assis-sur-Serre;C;Non
2028;2;Athies-sous-Laon;B2;Non
2029;2;Attilly;C;Non
2030;2;Aubencheul-aux-Bois;C;Non
2031;2;Aubenton;C;Non
2032;2;Aubigny-aux-Kaisnes;C;Non
2033;2;Aubigny-en-Laonnois;C;Non
2034;2;Audignicourt;C;Non
2035;2;Audigny;C;Non
2036;2;Augy;C;Non
2037;2;Aulnois-sous-Laon;C;Non
2038;2;Les Autels;C;Non
2039;2;Autremencourt;C;Non
2040;2;Autreppes;C;Non
2041;2;Autreville;C;Non
2042;2;Azy-sur-Marne;C;Non
2043;2;Bagneux;C;Non
2044;2;Bancigny;C;Non
2046;2;Barenton-Bugny;C;Non
2047;2;Barenton-Cel;C;Non
2048;2;Barenton-sur-Serre;C;Non
2049;2;Barisis-aux-Bois;C;Non
2050;2;Barzy-en-Thiérache;C;Non
2051;2;Barzy-sur-Marne;C;Non
2052;2;Bassoles-Aulers;C;Non
2053;2;Vallées en Champagne;C;Non
2054;2;Bazoches-et-Saint-Thibaut;C;Non
2055;2;Beaumé;C;Non
2056;2;Beaumont-en-Beine;C;Non
2057;2;Beaurevoir;C;Non
2058;2;Beaurieux;C;Non
2059;2;Beautor;C;Non
2060;2;Beauvois-en-Vermandois;C;Non
2061;2;Becquigny;C;Non
2062;2;Belleau;C;Non
2063;2;Bellenglise;C;Non
2064;2;Belleu;B2;Non
2065;2;Bellicourt;C;Non
2066;2;Benay;C;Non
2067;2;Bergues-sur-Sambre;C;Non
2068;2;Berlancourt;C;Non
2069;2;Berlise;C;Non
2070;2;Bernot;C;Non
2071;2;Berny-Rivière;C;Non
2072;2;Berrieux;C;Non
2073;2;Berry-au-Bac;C;Non
2074;2;Bertaucourt-Epourdon;C;Non
2075;2;Berthenicourt;C;Non
2076;2;Bertricourt;C;Non
2078;2;Besmé;C;Non
2079;2;Besmont;C;Non
2080;2;Besny-et-Loizy;C;Non
2081;2;Béthancourt-en-Vaux;C;Non
2082;2;Beugneux;C;Non
2083;2;Beuvardes;C;Non
2084;2;Bézu-le-Guéry;B2;Non
2085;2;Bézu-Saint-Germain;C;Non
2086;2;Bichancourt;C;Non
2087;2;Bieuxy;C;Non
2088;2;Bièvres;C;Non
2089;2;Billy-sur-Aisne;C;Non
2090;2;Billy-sur-Ourcq;C;Non
2091;2;Blanzy-lès-Fismes;C;Non
2093;2;Blérancourt;C;Non
2094;2;Blesmes;B2;Non
2095;2;Bohain-en-Vermandois;C;Non
2096;2;Bois-lès-Pargny;C;Non
2097;2;Boncourt;C;Non
2098;2;Bonneil;C;Non
2099;2;Bonnesvalyn;C;Non
2100;2;Bony;C;Non
2101;2;Bosmont-sur-Serre;C;Non
2102;2;Bouconville-Vauclair;C;Non
2103;2;Boué;C;Non
2104;2;Bouffignereux;C;Non
2105;2;Bouresches;C;Non
2106;2;Bourg-et-Comin;C;Non
2107;2;Bourguignon-sous-Coucy;C;Non
2108;2;Bourguignon-sous-Montbavin;C;Non
2109;2;La Bouteille;C;Non
2110;2;Braine;C;Non
2111;2;Brancourt-en-Laonnois;C;Non
2112;2;Brancourt-le-Grand;C;Non
2114;2;Brasles;B2;Non
2115;2;Braye-en-Laonnois;C;Non
2116;2;Braye-en-Thiérache;C;Non
2117;2;Bray-Saint-Christophe;C;Non
2118;2;Braye;C;Non
2119;2;Brécy;C;Non
2120;2;Brenelle;C;Non
2121;2;Breny;C;Non
2122;2;Brie;C;Non
2123;2;Brissay-Choigny;C;Non
2124;2;Brissy-Hamégicourt;C;Non
2125;2;Brumetz;B2;Non
2126;2;Brunehamel;C;Non
2127;2;Bruyères-sur-Fère;C;Non
2128;2;Bruyères-et-Montbérault;C;Non
2129;2;Bruys;C;Non
2130;2;Bucilly;C;Non
2131;2;Bucy-le-Long;C;Non
2132;2;Bucy-lès-Cerny;C;Non
2133;2;Bucy-lès-Pierrepont;C;Non
2134;2;Buire;C;Non
2135;2;Buironfosse;C;Non
2136;2;Burelles;C;Non
2137;2;Bussiares;B2;Non
2138;2;Buzancy;C;Non
2139;2;Caillouël-Crépigny;C;Non
2140;2;Camelin;C;Non
2141;2;La Capelle;C;Non
2142;2;Castres;B2;Non
2143;2;Le Catelet;C;Non
2144;2;Caulaincourt;C;Non
2145;2;Caumont;C;Non
2146;2;Celles-lès-Condé;C;Non
2148;2;Celles-sur-Aisne;C;Non
2149;2;Cerizy;C;Non
2150;2;Cerny-en-Laonnois;C;Non
2151;2;Cerny-lès-Bucy;C;Non
2152;2;Cerseuil;C;Non
2153;2;Cessières-Suzy;C;Non
2154;2;Chacrise;C;Non
2155;2;Chaillevois;C;Non
2156;2;Chalandry;C;Non
2157;2;Chambry;B2;Non
2158;2;Chamouille;C;Non
2159;2;Champs;C;Non
2160;2;Chaourse;C;Non
2162;2;La Chapelle-sur-Chézy;C;Non
2163;2;Charly-sur-Marne;C;Non
2164;2;Le Charmel;C;Non
2165;2;Charmes;C;Non
2166;2;Chartèves;C;Non
2167;2;Chassemy;C;Non
2168;2;Château-Thierry;B1;Non
2169;2;Châtillon-lès-Sons;C;Non
2170;2;Châtillon-sur-Oise;C;Non
2171;2;Chaudardes;C;Non
2172;2;Chaudun;C;Non
2173;2;Chauny;C;Non
2174;2;Chavignon;C;Non
2175;2;Chavigny;C;Non
2176;2;Chavonne;C;Non
2177;2;Chérêt;C;Non
2178;2;Chermizy-Ailles;C;Non
2179;2;Chéry-Chartreuve;C;Non
2180;2;Chéry-lès-Pouilly;C;Non
2181;2;Chéry-lès-Rozoy;C;Non
2182;2;Chevennes;C;Non
2183;2;Chevregny;C;Non
2184;2;Chevresis-Monceau;C;Non
2185;2;Chézy-en-Orxois;B2;Non
2186;2;Chézy-sur-Marne;C;Non
2187;2;Chierry;B2;Non
2188;2;Chigny;C;Non
2189;2;Chivres-en-Laonnois;C;Non
2190;2;Chivres-Val;C;Non
2191;2;Chivy-lès-Étouvelles;C;Non
2192;2;Chouy;C;Non
2193;2;Cierges;C;Non
2194;2;Cilly;C;Non
2195;2;Ciry-Salsogne;C;Non
2196;2;Clacy-et-Thierret;C;Non
2197;2;Clairfontaine;C;Non
2198;2;Clamecy;C;Non
2199;2;Clastres;C;Non
2200;2;Clermont-les-Fermes;C;Non
2201;2;Cœuvres-et-Valsery;C;Non
2203;2;Coincy;C;Non
2204;2;Coingt;C;Non
2205;2;Colligis-Crandelain;C;Non
2206;2;Colonfay;C;Non
2207;2;Commenchon;C;Non
2208;2;Concevreux;C;Non
2209;2;Condé-en-Brie;C;Non
2210;2;Condé-sur-Aisne;C;Non
2211;2;Condé-sur-Suippe;C;Non
2212;2;Condren;C;Non
2213;2;Connigis;C;Non
2214;2;Contescourt;B2;Non
2215;2;Corbeny;C;Non
2216;2;Corcy;B2;Non
2217;2;Coucy-le-Château-Auffrique;C;Non
2218;2;Coucy-lès-Eppes;C;Non
2219;2;Coucy-la-Ville;C;Non
2220;2;Coulonges-Cohan;C;Non
2221;2;Coupru;B2;Non
2222;2;Courbes;C;Non
2223;2;Courboin;C;Non
2224;2;Courcelles-sur-Vesle;C;Non
2225;2;Courchamps;B2;Non
2226;2;Courmelles;B2;Non
2227;2;Courmont;C;Non
2228;2;Courtemont-Varennes;C;Non
2229;2;Courtrizy-et-Fussigny;C;Non
2230;2;Couvrelles;C;Non
2231;2;Couvron-et-Aumencourt;C;Non
2232;2;Coyolles;B2;Non
2233;2;Cramaille;C;Non
2234;2;Craonne;C;Non
2235;2;Craonnelle;C;Non
2236;2;Crécy-au-Mont;C;Non
2237;2;Crécy-sur-Serre;C;Non
2238;2;Crépy;C;Non
2239;2;Crézancy;C;Non
2240;2;Croix-Fonsomme;C;Non
2241;2;La Croix-sur-Ourcq;C;Non
2242;2;Crouttes-sur-Marne;B2;Non
2243;2;Crouy;B2;Non
2244;2;Crupilly;C;Non
2245;2;Cuffies;B2;Non
2246;2;Cugny;C;Non
2248;2;Cuirieux;C;Non
2249;2;Cuiry-Housse;C;Non
2250;2;Cuiry-lès-Chaudardes;C;Non
2251;2;Cuiry-lès-Iviers;C;Non
2252;2;Cuissy-et-Geny;C;Non
2253;2;Cuisy-en-Almont;C;Non
2254;2;Cutry;C;Non
2255;2;Cys-la-Commune;C;Non
2256;2;Dagny-Lambercy;C;Non
2257;2;Dallon;B2;Non
2258;2;Dammard;B2;Non
2259;2;Dampleux;C;Non
2260;2;Danizy;C;Non
2261;2;Dercy;C;Non
2262;2;Deuillet;C;Non
2263;2;Dhuizel;C;Non
2264;2;Dizy-le-Gros;C;Non
2265;2;Dohis;C;Non
2266;2;Dolignon;C;Non
2267;2;Dommiers;C;Non
2268;2;Domptin;B2;Non
2269;2;Dorengt;C;Non
2270;2;Douchy;C;Non
2271;2;Dravegny;C;Non
2272;2;Droizy;C;Non
2273;2;Dury;C;Non
2274;2;Ébouleau;C;Non
2275;2;Effry;C;Non
2276;2;Englancourt;C;Non
2277;2;Épagny;C;Non
2278;2;Éparcy;C;Non
2279;2;Épaux-Bézu;C;Non
2280;2;Épieds;C;Non
2281;2;L'Épine-aux-Bois;C;Non
2282;2;Eppes;C;Non
2283;2;Erlon;C;Non
2284;2;Erloy;C;Non
2286;2;Esquéhéries;C;Non
2287;2;Essigny-le-Grand;C;Non
2288;2;Essigny-le-Petit;B2;Non
2289;2;Essises;C;Non
2290;2;Essômes-sur-Marne;B2;Non
2291;2;Estrées;C;Non
2292;2;Étampes-sur-Marne;B2;Non
2293;2;Étaves-et-Bocquiaux;C;Non
2294;2;Étouvelles;C;Non
2295;2;Étréaupont;C;Non
2296;2;Étreillers;C;Non
2297;2;Étrépilly;C;Non
2298;2;Étreux;C;Non
2299;2;Évergnicourt;C;Non
2302;2;Faverolles;C;Non
2303;2;Fayet;B2;Non
2304;2;La Fère;C;Non
2305;2;Fère-en-Tardenois;C;Non
2306;2;La Ferté-Chevresis;C;Non
2307;2;La Ferté-Milon;B2;Non
2308;2;Fesmy-le-Sart;C;Non
2309;2;Festieux;C;Non
2310;2;Fieulaine;B2;Non
2311;2;Filain;C;Non
2312;2;La Flamengrie;C;Non
2313;2;Flavigny-le-Grand-et-Beaurain;C;Non
2315;2;Flavy-le-Martel;C;Non
2316;2;Fleury;C;Non
2317;2;Fluquières;C;Non
2318;2;Folembray;C;Non
2319;2;Fonsomme;B2;Non
2320;2;Fontaine-lès-Clercs;C;Non
2321;2;Fontaine-lès-Vervins;C;Non
2322;2;Fontaine-Notre-Dame;B2;Non
2323;2;Fontaine-Uterte;C;Non
2324;2;Fontenelle;C;Non
2326;2;Fontenoy;C;Non
2327;2;Foreste;C;Non
2328;2;Fossoy;C;Non
2329;2;Fourdrain;C;Non
2330;2;Francilly-Selency;C;Non
2331;2;Franqueville;C;Non
2332;2;Fresnes-en-Tardenois;C;Non
2333;2;Fresnes-sous-Coucy;C;Non
2334;2;Fresnoy-le-Grand;C;Non
2335;2;Fressancourt;C;Non
2336;2;Frières-Faillouël;C;Non
2337;2;Froidestrées;C;Non
2338;2;Froidmont-Cohartille;C;Non
2339;2;Gandelu;B2;Non
2340;2;Gauchy;B2;Non
2341;2;Gercy;C;Non
2342;2;Gergny;C;Non
2343;2;Germaine;C;Non
2345;2;Gibercourt;C;Non
2346;2;Gizy;C;Non
2347;2;Gland;C;Non
2349;2;Goudelancourt-lès-Berrieux;C;Non
2350;2;Goudelancourt-lès-Pierrepont;C;Non
2351;2;Goussancourt;C;Non
2352;2;Gouy;C;Non
2353;2;Grandlup-et-Fay;C;Non
2354;2;Grandrieux;C;Non
2355;2;Gricourt;C;Non
2356;2;Grisolles;C;Non
2357;2;Gronard;C;Non
2358;2;Grougis;C;Non
2359;2;Grugies;B2;Non
2360;2;Villeneuve-sur-Aisne;C;Non
2361;2;Guise;C;Non
2362;2;Guivry;C;Non
2363;2;Guny;C;Non
2364;2;Guyencourt;C;Non
2366;2;Hannapes;C;Non
2367;2;Happencourt;C;Non
2368;2;Haramont;C;Non
2369;2;Harcigny;C;Non
2370;2;Hargicourt;C;Non
2371;2;Harly;B2;Non
2372;2;Hartennes-et-Taux;C;Non
2373;2;Hary;C;Non
2374;2;Lehaucourt;C;Non
2375;2;Hautevesnes;B2;Non
2376;2;Hauteville;C;Non
2377;2;Haution;C;Non
2378;2;La Hérie;C;Non
2379;2;Le Hérie-la-Viéville;C;Non
2380;2;Hinacourt;C;Non
