CODGEO;DEP;LIBGEO;Zonage ABC en vigueur depuis le 26 juin 2026
01351;01;Saint-Étienne-sur-Chalaronne;C
01352;01;Saint-Étienne-sur-Reyssouze;C
01353;01;Sainte-Euphémie;B2
01354;01;Saint-Genis-Pouilly;Abis
01355;01;Saint-Genis-sur-Menthon;C
01356;01;Saint-Georges-sur-Renon;C
01357;01;Saint-Germain-de-Joux;C
01358;01;Saint-Germain-les-Paroisses;C
01359;01;Saint-Germain-sur-Renon;C
01360;01;Saint-Jean-de-Gonville;A
01361;01;Saint-Jean-de-Niost;C
01362;01;Saint-Jean-de-Thurigneux;B2
01363;01;Saint-Jean-le-Vieux;C
01364;01;Saint-Jean-sur-Reyssouze;C
01365;01;Saint-Jean-sur-Veyle;C
01366;01;Sainte-Julie;C
01367;01;Saint-Julien-sur-Reyssouze;C
01368;01;Saint-Julien-sur-Veyle;C
01369;01;Saint-Just;B2
01370;01;Saint-Laurent-sur-Saône;B2
01371;01;Saint-Marcel;C
01372;01;Saint-Martin-de-Bavel;C
01373;01;Saint-Martin-du-Frêne;C
01374;01;Saint-Martin-du-Mont;C
01375;01;Saint-Martin-le-Châtel;C
01376;01;Saint-Maurice-de-Beynost;B1
01378;01;Saint-Maurice-de-Gourdans;B1
01379;01;Saint-Maurice-de-Rémens;C
01380;01;Saint-Nizier-le-Bouchoux;C
01381;01;Saint-Nizier-le-Désert;C
01382;01;Sainte-Olive;C
01383;01;Saint-Paul-de-Varax;C
01384;01;Saint-Rambert-en-Bugey;C
01385;01;Saint-Rémy;C
01386;01;Saint-Sorlin-en-Bugey;C
01387;01;Saint-Sulpice;C
01388;01;Saint-Trivier-de-Courtes;C
01389;01;Saint-Trivier-sur-Moignans;C
01390;01;Saint-Vulbas;B2
01391;01;Salavre;C
01392;01;Samognat;C
01393;01;Sandrans;C
01396;01;Sault-Brénaz;C
01397;01;Sauverny;Abis
01398;01;Savigneux;C
01399;01;Ségny;Abis
01400;01;Seillonnaz;C
01401;01;Sergy;A
01402;01;Sermoyer;C
01403;01;Serrières-de-Briord;C
01404;01;Serrières-sur-Ain;C
01405;01;Servas;C
01406;01;Servignat;C
01407;01;Seyssel;C
01408;01;Simandre-sur-Suran;C
01410;01;Sonthonnax-la-Montagne;C
01411;01;Souclin;C
01412;01;Sulignat;C
01415;01;Talissieu;C
01416;01;Tenay;C
01418;01;Thil;B2
01419;01;Thoiry;A
01420;01;Thoissey;C
01421;01;Torcieu;C
01422;01;Tossiat;C
01423;01;Toussieux;B2
01424;01;Tramoyes;B1
01425;01;La Tranclière;C
01426;01;Val-Revermont;C
01427;01;Trévoux;B1
01428;01;Valeins;C
01429;01;Vandeins;C
01430;01;Varambon;C
01431;01;Vaux-en-Bugey;C
01432;01;Verjon;C
01433;01;Vernoux;C
01434;01;Versailleux;C
01435;01;Versonnex;Abis
01436;01;Vesancy;A
01437;01;Vescours;C
01439;01;Vésines;C
01441;01;Vieu-d'Izenave;C
01443;01;Villars-les-Dombes;B1
01444;01;Villebois;C
01445;01;Villemotier;C
01446;01;Villeneuve;C
01447;01;Villereversure;C
01448;01;Villes;C
01449;01;Villette-sur-Ain;C
01450;01;Villieu-Loyes-Mollon;B2
01451;01;Viriat;B2
01452;01;Virieu-le-Grand;C
01453;01;Arvière-en-Valromey;C
01454;01;Virignin;C
01456;01;Vongnes;C
01457;01;Vonnas;C
02001;02;Abbécourt;C
02002;02;Achery;C
02003;02;Acy;C
02004;02;Agnicourt-et-Séchelles;C
02005;02;Aguilcourt;C
02006;02;Aisonville-et-Bernoville;C
02007;02;Aizelles;C
02008;02;Aizy-Jouy;C
02009;02;Alaincourt;C
02010;02;Allemant;C
02011;02;Ambleny;C
02012;02;Ambrief;C
02013;02;Amifontaine;C
02014;02;Amigny-Rouy;C
02015;02;Ancienville;C
02016;02;Andelain;C
02017;02;Anguilcourt-le-Sart;C
02018;02;Anizy-le-Grand;C
02019;02;Annois;C
02020;02;Any-Martin-Rieux;C
02021;02;Archon;C
02022;02;Arcy-Sainte-Restitue;C
02023;02;Armentières-sur-Ourcq;C
02024;02;Arrancy;C
02025;02;Artemps;C
02027;02;Assis-sur-Serre;C
02028;02;Athies-sous-Laon;B2
02029;02;Attilly;C
02030;02;Aubencheul-aux-Bois;C
02031;02;Aubenton;C
02032;02;Aubigny-aux-Kaisnes;C
02033;02;Aubigny-en-Laonnois;C
02034;02;Audignicourt;C
02035;02;Audigny;C
02036;02;Augy;C
02037;02;Aulnois-sous-Laon;C
02038;02;Les Autels;C
02039;02;Autremencourt;C
02040;02;Autreppes;C
02041;02;Autreville;C
02042;02;Azy-sur-Marne;C
02043;02;Bagneux;C
02044;02;Bancigny;C
02046;02;Barenton-Bugny;C
02047;02;Barenton-Cel;C
02048;02;Barenton-sur-Serre;C
02049;02;Barisis-aux-Bois;C
02050;02;Barzy-en-Thiérache;C
02051;02;Barzy-sur-Marne;C
02052;02;Bassoles-Aulers;C
02053;02;Vallées en Champagne;C
02054;02;Bazoches-et-Saint-Thibaut;C
02055;02;Beaumé;C
02056;02;Beaumont-en-Beine;C
02057;02;Beaurevoir;C
02058;02;Beaurieux;C
02059;02;Beautor;C
02060;02;Beauvois-en-Vermandois;C
02061;02;Becquigny;C
02062;02;Belleau;C
02063;02;Bellenglise;C
02064;02;Belleu;B2
02065;02;Bellicourt;C
02066;02;Benay;C
02067;02;Bergues-sur-Sambre;C
02068;02;Berlancourt;C
02069;02;Berlise;C
02070;02;Bernot;C
02071;02;Berny-Rivière;C
02072;02;Berrieux;C
02073;02;Berry-au-Bac;C
02074;02;Bertaucourt-Epourdon;C
02075;02;Berthenicourt;C
02076;02;Bertricourt;C
02078;02;Besmé;C
02079;02;Besmont;C
02080;02;Besny-et-Loizy;C
02081;02;Béthancourt-en-Vaux;C
02082;02;Beugneux;C
